axis,domain,loading
axis3,ctq,0.2909752764957776
axis3,bis,0.42150931707262446
axis3,wurs,0.4495600355652395
axis3,csm,0.009511877856950693
axis3,egf,0.019374820294501143
axis3,madrs,-0.12696940780195204
axis3,ymrs,0.4882810956084743
axis3,fast,0.02025267022265247
axis3,isf,0.1582871083664571
axis3,suncf_cigarettes_lt,0.08986502435287148
axis3,sudose_cigarettes_lt,0.037280915707989325
axis3,agedebut_cigarettes_lt,-0.11692450608835066
axis3,agetrt,0.027525844967119538
axis3,agedebutpremier_episode,-0.09544141514965705
axis3,cetermpremier_episode,0.08121950346610256
axis3,ppartpremier_episode,0.008557068232469362
axis3,remisc,-0.0858987552021733
axis3,saison,0.06130089163272488
axis3,somat_all,0.042532108745118424
axis3,pregnn_rporres,0.2252183023123486
axis3,menostat_rporres,0.0053565015848000405
axis3,mere_structure,0.10673826590261987
axis3,mere_trouble,0.08108994091915157
axis3,mere_suicide,0.06809065533208408
axis3,pere_structure,0.09114150909015958
axis3,pere_trouble,-0.016450346819884235
axis3,pere_suicide,-0.017112320230060565
axis3,agedebut_hospitalisation,-0.0017700692910375948
axis3,nboccur_hospitalisation_lt,-0.006507363158810232
axis3,hodur_hospitalisation_lt,-0.035242987529543156
axis3,hooccur_arret_travail_actuel,0.004032253632965482
axis3,hooccur_arret_travail,-0.040299899009151825
axis3,maristat,0.10791517255516045
axis3,edulevel,-0.15238633215777161
axis3,stprof,0.010709354796896333
axis3,lvsbjind,0.061967854459932206
axis3,metabolic_syndrome,-0.025275504599854885
axis3,cholesterol,-0.08472282604037276
axis3,inflammation,0.024728468482240053
axis3,prolactin,-0.026501049697930473
axis3,hepatic,-0.012731316012318519
axis3,renal,-0.05616141488211705
axis3,cardiac_qtc,-0.02897212277853001
axis4,prism,-0.004857608800309058
axis4,staya,-0.09975974570112339
axis4,mars,-0.021355967666306704
axis4,mathys,0.006933537427686637
axis4,altman,-0.0030277889819049445
axis4,qidsr,-0.061636727524023535
axis4,psqi,-0.046369992367260464
axis4,ess,-0.1548847602034139
axis4,eq5d,-0.025973104420854386
axis4,eq,-0.020993613259882818
axis4,fagers,0.25481140934373997
axis4,ctq,0.06516462678000629
axis4,bis,-0.08900132200051186
axis4,wurs,-0.04604936779200824
axis4,csm,0.05986971446715032
axis4,egf,-0.3055621860260191
axis4,madrs,0.04087236291749386
axis4,ymrs,-0.004234529529931809
axis4,fast,0.1596782837677589
axis4,isf,0.19421126227897095
axis4,suncf_cigarettes_lt,0.10684031681530412
axis4,sudose_cigarettes_lt,0.05492427055415296
axis4,agedebut_cigarettes_lt,-0.03562820418138552
axis4,agetrt,-0.12992217928222846
axis4,agedebutpremier_episode,0.030387421760177013
axis4,cetermpremier_episode,-0.09415017540168744
axis4,ppartpremier_episode,0.021540954764471865
axis4,remisc,-0.026527018597353968
axis4,saison,-0.06527999047969947
axis4,somat_all,-0.020944724751538222
axis4,pregnn_rporres,-0.1732013291166018
axis4,menostat_rporres,0.027509906119520665
axis4,mere_structure,-0.14151865751845125
axis4,mere_trouble,0.028778013192637737
axis4,mere_suicide,0.05155746539490397
axis4,pere_structure,-0.09801406003088568
axis4,pere_trouble,0.04043294724055857
axis4,pere_suicide,0.04094811580951829
axis4,agedebut_hospitalisation,-0.26176497410100225
axis4,nboccur_hospitalisation_lt,0.7425820340238514
