item,factor,home,block,likelihood_family,kind,loading,abs_loading,ci_low,ci_high,excludes_zero
fast28,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.3177342711957002,0.3177342711957002,0.26924594524212264,0.3658584148615146,True
fast30,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.6463198977776252,0.6463198977776252,0.6011314448638168,0.6910785726674747,True
ggt_lbstresc,overall_severity,metabolic,continuous,lognormal,bifactor_G,0.10137747815723992,0.10137747815723992,0.04608798701352493,0.1578019780152001,True
ggt_lbstresc,metabolic,metabolic,continuous,lognormal,primary,0.2842514099610428,0.2842514099610428,0.22660923516197254,0.34188073795140245,True
gluc,overall_severity,metabolic,continuous,lognormal,bifactor_G,-0.007960577023822421,0.007960577023822421,-0.05820114983730181,0.044804545915414405,False
gluc,metabolic,metabolic,continuous,lognormal,primary,0.23604436831596456,0.23604436831596456,0.185830700826111,0.28953096483670354,True
gstabrth,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,-0.0033835468485975606,0.0033835468485975606,-0.07372592297634908,0.06879209481875856,False
gstabrth,developmental_risk,developmental_risk,continuous,gaussian,primary,0.01584913081301756,0.01584913081301756,0.0005823627195548394,0.06775173021354983,True
hba1c,overall_severity,metabolic,continuous,lognormal,bifactor_G,0.06761172658738746,0.06761172658738746,-0.010562296328164893,0.14403521044932832,False
hba1c,metabolic,metabolic,continuous,lognormal,primary,0.19364904071266117,0.19364904071266117,0.11261407724574454,0.27376042090181474,True
hdl,overall_severity,metabolic,continuous,gaussian,bifactor_G,0.18583457279794224,0.18583457279794224,0.13569560387135648,0.23725537513005812,True
hdl,metabolic,metabolic,continuous,gaussian,primary,0.26968404730189555,0.26968404730189555,0.22068652726277863,0.3200526138762782,True
honeonat,overall_severity,developmental_risk,explicit,bernoulli,bifactor_G,-0.0007438449818529026,0.0007438449818529026,-0.08893654266540012,0.09038379336270973,False
honeonat,developmental_risk,developmental_risk,explicit,bernoulli,primary,0.0632605870735361,0.0632605870735361,0.002735921989285954,0.22330444796633647,True
hrstanding,overall_severity,metabolic,continuous,gaussian,bifactor_G,0.20118339798386103,0.20118339798386103,0.14199812164218,0.26213642200180554,True
hrstanding,metabolic,metabolic,continuous,gaussian,primary,0.1418006973923173,0.1418006973923173,0.07826453698059305,0.2058116935774505,True
hrsupine,overall_severity,metabolic,continuous,gaussian,bifactor_G,0.2128747557192709,0.2128747557192709,0.15256023231565377,0.2720178964976438,True
hrsupine,metabolic,metabolic,continuous,gaussian,primary,0.17680859785462438,0.17680859785462438,0.11696512758224807,0.2374827747799176,True
isf01,overall_severity,suicidality,explicit,bernoulli,bifactor_G,0.05112257707723622,0.05112257707723622,-0.036641212725232915,0.13532318975964547,False
isf01,suicidality,suicidality,explicit,bernoulli,primary,2.0181622647960253,2.0181622647960253,1.7682723018403061,2.2953979378246783,True
isf02,overall_severity,suicidality,explicit,bernoulli,bifactor_G,-0.0009672558843839736,0.0009672558843839736,-0.08209842979084087,0.08269298947228773,False
isf02,suicidality,suicidality,explicit,bernoulli,primary,1.8668630036949998,1.8668630036949998,1.642664361074916,2.101966962010266,True
isf03,overall_severity,suicidality,explicit,bernoulli,bifactor_G,0.04748387063910766,0.04748387063910766,-0.037183599330953214,0.13178893647393425,False
isf03,suicidality,suicidality,explicit,bernoulli,primary,2.4588183076648997,2.4588183076648997,2.182570727887804,2.761169634217784,True
isf04,overall_severity,suicidality,explicit,bernoulli,bifactor_G,0.004086588112802882,0.004086588112802882,-0.07925344305894039,0.08693893907322783,False
isf04,suicidality,suicidality,explicit,bernoulli,primary,2.2432836419979374,2.2432836419979374,2.015169075483579,2.4899299215769353,True
isf05,overall_severity,suicidality,explicit,bernoulli,bifactor_G,0.013565693797377439,0.013565693797377439,-0.07565268749111416,0.1050424112623188,False
isf05,suicidality,suicidality,explicit,bernoulli,primary,3.4510144024160274,3.4510144024160274,3.12085917102599,3.8113595574877364,True
isf07,overall_severity,suicidality,continuous,gaussian,bifactor_G,0.02043039393255655,0.02043039393255655,-0.008779071744828929,0.048439996998938264,False
isf07,suicidality,suicidality,continuous,gaussian,primary,0.5317885534103934,0.5317885534103934,0.5029535043823379,0.5608958438013868,True
isf08,overall_severity,suicidality,explicit,bernoulli,bifactor_G,-0.0032375791427356982,0.0032375791427356982,-0.09407635315613483,0.08953108288254341,False
isf08,suicidality,suicidality,explicit,bernoulli,primary,1.5968132707197085,1.5968132707197085,1.3471612078975659,1.874242003938906,True
isf08a,overall_severity,suicidality,explicit,ordered_logistic,bifactor_G,-0.004576486964417049,0.004576486964417049,-0.09567704615133797,0.08708822221657396,False
isf08a,suicidality,suicidality,explicit,ordered_logistic,primary,1.5365438040603765,1.5365438040603765,1.2891874406690675,1.793915036127457,True
isf09,overall_severity,suicidality,explicit,bernoulli,bifactor_G,0.005883936067601573,0.005883936067601573,-0.08716646005330861,0.09579166120977119,False
isf09,suicidality,suicidality,explicit,bernoulli,primary,1.9713072894802361,1.9713072894802361,1.6934719701013987,2.281986072042816,True
isf09a,overall_severity,suicidality,explicit,neg_binomial,bifactor_G,0.016577255937571714,0.016577255937571714,-0.07201550030637474,0.10648192854684925,False
isf09a,suicidality,suicidality,explicit,neg_binomial,primary,1.6461537059934317,1.6461537059934317,1.4480022705974307,1.8611608249477742,True
ldl,overall_severity,metabolic,continuous,gaussian,bifactor_G,-0.031121392185168524,0.031121392185168524,-0.08747563736052423,0.026170212886827707,False
ldl,metabolic,metabolic,continuous,gaussian,primary,0.12535579153725684,0.12535579153725684,0.06885249847531494,0.18288715670506359,True
lvsbjind,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.019933889373111992,0.019933889373111992,0.0008344110163108336,0.06125434475662543,True
lym_lbstresc,overall_severity,inflammatory,continuous,lognormal,bifactor_G,-0.061219192962839536,0.061219192962839536,-0.12663680394132612,0.003253494771661656,False
lym_lbstresc,inflammatory,inflammatory,continuous,lognormal,primary,0.0018549515889990417,0.0018549515889990417,7.98228883501501e-05,0.00915025771251103,True
madrs,overall_severity,,continuous,gaussian,window,0.8209096217444187,0.8209096217444187,0.7778981046766384,0.8648181273921319,True
madrs,cognition,,continuous,gaussian,window,-0.037821179188517205,0.037821179188517205,-0.08710372400304793,0.00916276396023353,False
madrs,sleep,,continuous,gaussian,window,0.1153847432986192,0.1153847432986192,0.07483679356533131,0.15625701893856117,True
madrs,suicidality,,continuous,gaussian,window,0.011419402015456659,0.011419402015456659,-0.027272505797206355,0.049695726268102536,False
mere_structure,overall_severity,developmental_risk,explicit,bernoulli,bifactor_G,-0.05805793341669138,0.05805793341669138,-0.13194354763640448,0.015231566262179072,False
mere_structure,developmental_risk,developmental_risk,explicit,bernoulli,primary,0.12552187648128732,0.12552187648128732,0.028968002399508575,0.22913809985981737,True
mono_lbstresc,overall_severity,inflammatory,continuous,lognormal,bifactor_G,-0.015117370177703617,0.015117370177703617,-0.076991200945286,0.04522408281469049,False
mono_lbstresc,inflammatory,inflammatory,continuous,lognormal,primary,0.6711318235981278,0.6711318235981278,0.6172033892171781,0.7267426480606467,True
naisstyp,overall_severity,developmental_risk,explicit,bernoulli,bifactor_G,-0.004960367323665336,0.004960367323665336,-0.09111759147684385,0.0809570840944538,False
naisstyp,developmental_risk,developmental_risk,explicit,bernoulli,primary,0.11927395018358783,0.11927395018358783,0.0099133608664584,0.28325226758069305,True
neut,overall_severity,inflammatory,continuous,lognormal,bifactor_G,0.10324045587613619,0.10324045587613619,0.04692056901098564,0.1570432152118431,True
neut,inflammatory,inflammatory,continuous,lognormal,primary,0.748188666413112,0.748188666413112,0.7066057194384519,0.7932403810862932,True
pere_structure,overall_severity,developmental_risk,explicit,bernoulli,bifactor_G,-0.053308189570197256,0.053308189570197256,-0.13079156096125313,0.022199238455727598,False
pere_structure,developmental_risk,developmental_risk,explicit,bernoulli,primary,0.14215295712513845,0.14215295712513845,0.04020043907585923,0.2484782165062386,True
plat,overall_severity,inflammatory,continuous,lognormal,bifactor_G,0.07194909627033719,0.07194909627033719,0.02085973280847421,0.12470730133854416,True
plat,inflammatory,inflammatory,continuous,lognormal,primary,0.3316496899817818,0.3316496899817818,0.28293937503715605,0.37885370523663847,True
prembrth,overall_severity,developmental_risk,explicit,ordered_logistic,bifactor_G,-0.0013777310044971829,0.0013777310044971829,-0.08807089524537252,0.08741120543784796,False
prembrth,developmental_risk,developmental_risk,explicit,ordered_logistic,primary,0.09705574866334726,0.09705574866334726,0.006239106938575243,0.2402597205596328,True
psqi,overall_severity,sleep,continuous,gaussian,bifactor_G,0.4055635110110368,0.4055635110110368,0.35417849676433744,0.45857855242602924,True
psqi,sleep,sleep,continuous,gaussian,primary,0.8687191875908489,0.8687191875908489,0.8343568898236793,0.9042925772323394,True
psqi11,overall_severity,sleep,continuous,gaussian,bifactor_G,0.10626610287061346,0.10626610287061346,0.05918611572284681,0.153239460899045,True
psqi11,sleep,sleep,continuous,gaussian,primary,0.44926173941531267,0.44926173941531267,0.4108239341846697,0.4902634141284603,True
psqi12,overall_severity,sleep,continuous,gaussian,bifactor_G,0.006323148847487409,0.006323148847487409,-0.033404281682607825,0.047094590493874024,False
psqi12,sleep,sleep,continuous,gaussian,primary,0.3613625216071256,0.3613625216071256,0.3270663503635438,0.39586924810095003,True
psqi13,overall_severity,sleep,continuous,gaussian,bifactor_G,0.19107084492097415,0.19107084492097415,0.14285575152218313,0.2387400963232085,True
psqi13,sleep,sleep,continuous,gaussian,primary,0.4154201942209299,0.4154201942209299,0.37384265905420294,0.4575347440657714,True
psqi14,overall_severity,sleep,continuous,gaussian,bifactor_G,0.1200501059460713,0.1200501059460713,0.07071247349254281,0.17004538563146662,True
psqi14,sleep,sleep,continuous,gaussian,primary,0.5281404796281126,0.5281404796281126,0.4867931742603055,0.5716044831585486,True
psqi15,overall_severity,sleep,continuous,gaussian,bifactor_G,0.25364739607273945,0.25364739607273945,0.20248016247636794,0.3039521981060338,True
psqi15,sleep,sleep,continuous,gaussian,primary,0.5629749833305093,0.5629749833305093,0.5226860080258174,0.6052055563968064,True
psqi17,overall_severity,sleep,continuous,gaussian,bifactor_G,0.46660195501387175,0.46660195501387175,0.41975858593810766,0.5156273277766704,True
psqi17,sleep,sleep,continuous,gaussian,primary,0.2643769398630922,0.2643769398630922,0.2236566160626464,0.30717156771906695,True
qidsr120,overall_severity,,continuous,gaussian,window,0.7222377360685652,0.7222377360685652,0.6786049545117755,0.7683902960730076,True
qidsr120,cognition,,continuous,gaussian,window,-0.04554845292701359,0.04554845292701359,-0.09466831891275465,0.004596484759643064,False
qidsr120,sleep,,continuous,gaussian,window,0.21488910713199816,0.21488910713199816,0.17252122918615462,0.2558260585155292,True
qidsr120,suicidality,,continuous,gaussian,window,0.03718002178325839,0.03718002178325839,-0.001867467358598725,0.07773219448314535,False
staya,overall_severity,,continuous,gaussian,window,0.6061228571628332,0.6061228571628332,0.5584776118667074,0.6559537224279144,True
staya,sleep,,continuous,gaussian,window,0.18389718188247944,0.18389718188247944,0.13670845805370008,0.23100607278794447,True
sudose_cigarettes_lt,overall_severity,substance,continuous,neg_binomial,bifactor_G,0.008447847468483462,0.008447847468483462,-0.045433863600048974,0.06241442904706783,False
sudose_cigarettes_lt,substance,substance,continuous,neg_binomial,primary,0.5584956795937497,0.5584956795937497,0.45289792217396807,0.6746208424158769,True
suoccur_alcool,overall_severity,substance,explicit,bernoulli,bifactor_G,0.006680189069463936,0.006680189069463936,-0.09279634539851345,0.10462453774694247,False
suoccur_alcool,substance,substance,explicit,bernoulli,primary,0.48372099475915487,0.48372099475915487,0.09068754054473777,0.9458517098616624,True
suoccur_cannabis,overall_severity,substance,explicit,bernoulli,bifactor_G,-0.0014909920836255553,0.0014909920836255553,-0.09988936762453439,0.09622592215133066,False
suoccur_cannabis,substance,substance,explicit,bernoulli,primary,0.4615793595274503,0.4615793595274503,0.07808028962655095,0.9308094262904629,True
sysbpstanding,overall_severity,metabolic,continuous,gaussian,bifactor_G,-0.05083060998804948,0.05083060998804948,-0.11260349946221905,0.008439676754705222,False
sysbpstanding,metabolic,metabolic,continuous,gaussian,primary,0.2974887569969561,0.2974887569969561,0.2376826531467545,0.35844790321634185,True
sysbpsupine,overall_severity,metabolic,continuous,gaussian,bifactor_G,-0.002658696701263716,0.002658696701263716,-0.050342069478763955,0.04773515174133929,False
sysbpsupine,metabolic,metabolic,continuous,gaussian,primary,0.2721621867029874,0.2721621867029874,0.22595583968140193,0.31938650678529634,True
t3fr_lbstresc,overall_severity,metabolic,continuous,gaussian,bifactor_G,-0.07850336755791443,0.07850336755791443,-0.137180515925434,-0.018259188916982753,True
t3fr_lbstresc,metabolic,metabolic,continuous,gaussian,primary,0.10174679772135187,0.10174679772135187,0.04202466830628566,0.16223000807931748,True
t4fr_lbstresc,overall_severity,metabolic,continuous,gaussian,bifactor_G,-0.031141736821297734,0.031141736821297734,-0.09047550198675303,0.027796807875531827,False
t4fr_lbstresc,metabolic,metabolic,continuous,gaussian,primary,0.018040605337143606,0.018040605337143606,0.0007682670130071688,0.0636502333127191,True
tmt_a_time_sec,overall_severity,cognition,continuous,gaussian,bifactor_G,0.2570121469040514,0.2570121469040514,0.2017953200725561,0.3159840267310771,True
tmt_a_time_sec,cognition,cognition,continuous,gaussian,primary,0.4426158432851829,0.4426158432851829,0.3915254130057431,0.4936869927033443,True
tmt_b_time_sec,overall_severity,cognition,continuous,gaussian,bifactor_G,0.23528268563665372,0.23528268563665372,0.17902139667814757,0.2942615130692252,True
tmt_b_time_sec,cognition,cognition,continuous,gaussian,primary,0.503283432559317,0.503283432559317,0.45394644425632,0.5534030372314342,True
traumacra_mhoccur,overall_severity,developmental_risk,explicit,bernoulli,bifactor_G,0.029221447325104052,0.029221447325104052,-0.053531957439304376,0.11293729892792533,False
traumacra_mhoccur,developmental_risk,developmental_risk,explicit,bernoulli,primary,0.33645166508578106,0.33645166508578106,0.17045559904455398,0.5033903869460105,True
