item,factor,loading,kind,home
ldl,metabolic,0.218,primary,metabolic
lvsbjind,overall_severity,0.007,g_anchor,overall_severity
lym_lbstresc,overall_severity,-0.077,bifactor_G,inflammatory
lym_lbstresc,inflammatory,0.001,primary,inflammatory
madrs,overall_severity,0.802,window,
madrs,cognition,-0.055,window,
madrs,sleep,0.139,window,
mono_lbstresc,overall_severity,0.072,bifactor_G,inflammatory
mono_lbstresc,inflammatory,0.469,primary,inflammatory
neut,overall_severity,0.139,bifactor_G,inflammatory
neut,inflammatory,0.83,primary,inflammatory
plat,overall_severity,0.053,bifactor_G,inflammatory
plat,inflammatory,0.204,primary,inflammatory
psqi,overall_severity,0.419,bifactor_G,sleep
psqi,sleep,0.911,primary,sleep
psqi11,overall_severity,0.135,bifactor_G,sleep
psqi11,sleep,0.592,primary,sleep
psqi12,overall_severity,0.068,bifactor_G,sleep
psqi12,sleep,0.585,primary,sleep
psqi13,overall_severity,0.268,bifactor_G,sleep
psqi13,sleep,0.498,primary,sleep
psqi14,overall_severity,0.174,bifactor_G,sleep
psqi14,sleep,0.58,primary,sleep
psqi15,overall_severity,0.31,bifactor_G,sleep
psqi15,sleep,0.657,primary,sleep
psqi17,overall_severity,0.53,bifactor_G,sleep
psqi17,sleep,0.314,primary,sleep
qidsr120,overall_severity,0.766,window,
qidsr120,cognition,-0.052,window,
qidsr120,sleep,0.242,window,
staya,overall_severity,0.661,window,
staya,sleep,0.205,window,
sysbpstanding,overall_severity,-0.033,bifactor_G,metabolic
sysbpstanding,metabolic,0.441,primary,metabolic
sysbpsupine,overall_severity,0.031,bifactor_G,metabolic
sysbpsupine,metabolic,0.408,primary,metabolic
t3fr_lbstresc,overall_severity,-0.025,bifactor_G,metabolic
t3fr_lbstresc,metabolic,0.025,primary,metabolic
t4fr_lbstresc,overall_severity,0.001,bifactor_G,metabolic
t4fr_lbstresc,metabolic,0.004,primary,metabolic
tmt_a_time_sec,overall_severity,0.291,bifactor_G,cognition
tmt_a_time_sec,cognition,0.416,primary,cognition
tmt_b_time_sec,overall_severity,0.28,bifactor_G,cognition
tmt_b_time_sec,cognition,0.454,primary,cognition
trig,overall_severity,0.191,bifactor_G,metabolic
trig,metabolic,0.488,primary,metabolic
tsh_lbstresc,overall_severity,0.019,bifactor_G,metabolic
tsh_lbstresc,metabolic,0.022,primary,metabolic
urate,overall_severity,-0.023,bifactor_G,metabolic
urate,metabolic,0.46,primary,metabolic
urea_lbstresc,overall_severity,-0.024,bifactor_G,metabolic
urea_lbstresc,metabolic,0.096,primary,metabolic
verbal_fluency_phonemic,overall_severity,0.239,bifactor_G,cognition
verbal_fluency_phonemic,cognition,0.42,primary,cognition
verbal_fluency_semantic,overall_severity,0.297,bifactor_G,cognition
verbal_fluency_semantic,cognition,0.496,primary,cognition
vitd,overall_severity,0.051,bifactor_G,metabolic
vitd,metabolic,0.134,primary,metabolic
wais_code_std,overall_severity,0.359,bifactor_G,cognition
wais_code_std,cognition,0.463,primary,cognition
wais_digitspan_std,overall_severity,0.227,bifactor_G,cognition
wais_digitspan_std,cognition,0.382,primary,cognition
wais_ivt_index,overall_severity,0.348,bifactor_G,cognition
wais_ivt_index,cognition,0.493,primary,cognition
wais_similitudes_std,overall_severity,0.189,bifactor_G,cognition
wais_similitudes_std,cognition,0.412,primary,cognition
wbc,overall_severity,0.124,bifactor_G,inflammatory
wbc,inflammatory,0.856,primary,inflammatory
weight,overall_severity,0.096,bifactor_G,metabolic
weight,metabolic,0.937,primary,metabolic
wstcir,overall_severity,0.132,bifactor_G,metabolic
wstcir,metabolic,0.895,primary,metabolic
