variable,dimension,status,prior_mean,prior_sd
apgr0106_5min,neurodevelopment,primary,0.6,0.3
traumacra_mhoccur,neurodevelopment,primary,0.6,0.3
honeonat,neurodevelopment,primary,0.6,0.3
agepere,neurodevelopment,primary,0.6,0.3
mere_suicide,neurodevelopment,primary,0.6,0.3
brthht,neurodevelopment,primary,0.6,0.3
ctq37,neurodevelopment,primary,0.6,0.3
ctq40,neurodevelopment,primary,0.6,0.3
staya,affective_internalizing,primary,0.6,0.3
madrs,affective_internalizing,primary,0.6,0.3
qids_anhedonia_interest,affective_internalizing,primary,0.6,0.3
qidsr120,affective_internalizing,primary,0.6,0.3
staya,overall_severity,cross_loading,0.0,0.25
madrs,overall_severity,cross_loading,0.0,0.25
qids_anhedonia_interest,overall_severity,cross_loading,0.0,0.25
qidsr120,overall_severity,cross_loading,0.0,0.25
ymrs,mania_activation,primary,0.6,0.3
altman,mania_activation,primary,0.6,0.3
suoccur_alcool,substance,primary,0.6,0.3
fagers,substance,primary,0.6,0.3
suoccur_cannabis,substance,primary,0.6,0.3
sudose_cigarettes_lt,substance,primary,0.6,0.3
suncf_cigarettes_lt,substance,primary,0.6,0.3
agedebut_hospitalisation,illness_course,primary,0.6,0.3
agedebutpremier_episode,illness_course,primary,0.6,0.3
hodur_hospitalisation_lt,illness_course,primary,0.6,0.3
nboccur_hospitalisation_lt,illness_course,primary,0.6,0.3
agetrt,illness_course,primary,0.6,0.3
