# NOTE ON CEILING: the per-axis 'ceiling' reported in the results table / meta.json is the FULL-ITEM-BANK
#   reliability (all pool items). Curves BELOW are capped at min(20, pool) items, so for overall_severity,
#   immunometabolic and suicidality (pool>20) the n=20 endpoint here is slightly below the reported ceiling
#   (0.874<0.881, 0.886<0.888, 0.912<0.914 respectively). See cat_vs_upperbound_meta.json per_axis_reliability.
# cat_vs_upperbound.csv -- FACE-ATLAS methods paper, Fig 3 (adaptive sampling)
# Realized patient-adaptive (CAT) reliability vs the population-mean fixed-order UPPER BOUND.
# method='upper_bound': items added in DECREASING population-mean Fisher-info order (eta=alpha[j];
#   ordinal eta=0 per article/figures/scripts/fig_adaptive_assessment.py). Deterministic. Reproduces curves8.
# method='cat': fully-adaptive test. Per simulated patient, at each step pick the not-yet-given item with
#   highest Fisher info at the patient's CURRENT provisional posterior mean theta_hat; simulate the response
#   from the model at the patient's TRUE theta; grid-EAP update theta_hat; precision += info_at_theta_hat;
#   reliability = 1 - 1/precision. Reliability is AVERAGED over sim patients at each step count.
#   n_sim_patients=500, seed=20240704, theta prior N(0,1), grid=[-5,5]/401, item cap=min(20,pool).
# Single-factor (1-D) reliability per axis -- identical footing for both methods (the whole point).
# columns: axis, method, n_items, reliability
axis,method,n_items,reliability
suicidality,upper_bound,20,0.9117794430596284
suicidality,cat,1,0.7496668111010127
suicidality,cat,2,0.8251626245317788
suicidality,cat,3,0.857291846400386
suicidality,cat,4,0.8731533207971878
suicidality,cat,5,0.8831919862990517
suicidality,cat,6,0.8896214683862695
suicidality,cat,7,0.894039025233969
suicidality,cat,8,0.8972849723312635
suicidality,cat,9,0.9001111830487186
suicidality,cat,10,0.9025876191432628
suicidality,cat,11,0.904753409606882
suicidality,cat,12,0.9066099671894161
suicidality,cat,13,0.9080857182521532
suicidality,cat,14,0.909421142121687
suicidality,cat,15,0.9106103528664432
suicidality,cat,16,0.9116351417839013
suicidality,cat,17,0.9124876286048176
suicidality,cat,18,0.913177088839465
suicidality,cat,19,0.9137466799174907
suicidality,cat,20,0.9142249579011399
developmental_risk,upper_bound,1,0.824474061245831
developmental_risk,upper_bound,2,0.847476285037031
developmental_risk,upper_bound,3,0.86408640321854
developmental_risk,upper_bound,4,0.8713424920269154
developmental_risk,upper_bound,5,0.8755178711126651
developmental_risk,upper_bound,6,0.8773583346222062
developmental_risk,upper_bound,7,0.8787980775982914
developmental_risk,upper_bound,8,0.8789776598542502
developmental_risk,upper_bound,9,0.8791026492005812
developmental_risk,upper_bound,10,0.8791764867674576
developmental_risk,upper_bound,11,0.8791910452869552
developmental_risk,upper_bound,12,0.8792017062433846
developmental_risk,upper_bound,13,0.8792104427259838
developmental_risk,upper_bound,14,0.8792140870865394
developmental_risk,upper_bound,15,0.8792167274749374
developmental_risk,upper_bound,16,0.879218110112626
developmental_risk,upper_bound,17,0.8792187867399843
developmental_risk,upper_bound,18,0.8792193945719395
developmental_risk,upper_bound,19,0.8792196922365324
developmental_risk,upper_bound,20,0.8792198335751212
developmental_risk,cat,1,0.8244740612458361
developmental_risk,cat,2,0.8474762850370324
developmental_risk,cat,3,0.864086403218547
developmental_risk,cat,4,0.871342492026924
developmental_risk,cat,5,0.8755178711126634
developmental_risk,cat,6,0.877358334622212
developmental_risk,cat,7,0.8787980775982885
developmental_risk,cat,8,0.8789756904756388
developmental_risk,cat,9,0.8790997390042672
developmental_risk,cat,10,0.8791744044088643
developmental_risk,cat,11,0.8791890129708662
developmental_risk,cat,12,0.8791997320191792
developmental_risk,cat,13,0.8792085304127855
developmental_risk,cat,14,0.879212182947372
developmental_risk,cat,15,0.8792148234190451
developmental_risk,cat,16,0.8792162061003387
developmental_risk,cat,17,0.8792168827490359
developmental_risk,cat,18,0.8792174906001602
developmental_risk,cat,19,0.8792177882464978
developmental_risk,cat,20,0.8792179296925281
mania_activation,upper_bound,1,0.27971207536547227
mania_activation,upper_bound,2,0.40807164347046465
mania_activation,cat,1,0.27971207536546977
mania_activation,cat,2,0.40807164347046415
substance,upper_bound,1,0.2930906635186562
substance,upper_bound,2,0.4217241375837981
substance,upper_bound,3,0.4259154069801504
substance,upper_bound,4,0.42911735190009526
substance,cat,1,0.29309066351865476
substance,cat,2,0.421724137583796
substance,cat,3,0.4267867545829357
substance,cat,4,0.4305891624912577
