item,factor,home,block,likelihood_family,kind,loading,abs_loading,ci_low,ci_high,excludes_zero
gluc,overall_severity,immunometabolic,continuous,lognormal,bifactor_G,-0.0025783175223379447,0.0025783175223379447,-0.025194629296862524,0.01978519795465117,False
gluc,immunometabolic,immunometabolic,continuous,lognormal,primary,0.2608804934962634,0.2608804934962634,0.23721293178287647,0.28503230026403964,True
gstabrth,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,-0.01698613124539983,0.01698613124539983,-0.05590961674714023,0.020766911405688863,False
gstabrth,developmental_risk,developmental_risk,continuous,gaussian,primary,0.02006162569485013,0.02006162569485013,0.0010225267234695644,0.06545940581455637,True
hba1c,overall_severity,immunometabolic,continuous,lognormal,bifactor_G,0.07911378627504168,0.07911378627504168,0.04734558405645532,0.110850229458438,True
hba1c,immunometabolic,immunometabolic,continuous,lognormal,primary,0.20458627426522868,0.20458627426522868,0.17038918546428597,0.23805754809786792,True
hdl,overall_severity,immunometabolic,continuous,gaussian,bifactor_G,0.1608880344377877,0.1608880344377877,0.13941062557248549,0.18246591418050315,True
hdl,immunometabolic,immunometabolic,continuous,gaussian,primary,0.29136696333813716,0.29136696333813716,0.2688836206223619,0.31435980689934057,True
honeonat,overall_severity,developmental_risk,explicit,bernoulli,bifactor_G,-0.06246456562238022,0.06246456562238022,-0.1309942472494546,0.008571799261068535,False
honeonat,developmental_risk,developmental_risk,explicit,bernoulli,primary,0.017271620584375137,0.017271620584375137,0.0006640614712895943,0.07640983658809587,True
hrstanding,overall_severity,immunometabolic,continuous,gaussian,bifactor_G,0.17855364797199996,0.17855364797199996,0.15429968089308002,0.20291877476616765,True
hrstanding,immunometabolic,immunometabolic,continuous,gaussian,primary,0.1570044667491095,0.1570044667491095,0.12911500435600334,0.18503946249094502,True
hrsupine,overall_severity,immunometabolic,continuous,gaussian,bifactor_G,0.18889529877479766,0.18889529877479766,0.16480887658575274,0.21259615884018726,True
hrsupine,immunometabolic,immunometabolic,continuous,gaussian,primary,0.18078944893720297,0.18078944893720297,0.15509553628996267,0.20698744433252708,True
isf01,overall_severity,suicidality,explicit,bernoulli,bifactor_G,0.24525321445752601,0.24525321445752601,0.18124972175309562,0.3076513492305002,True
